Circuit: circuits/s344f_2.txt
Binary Input: 111010111010101010001100

------ DETECTED FAULTS ------
NET		STUCK-AT
1		0
2		0
3		0
4		1
5		0
6		1
7		0
8		0
9		0
10		1
11		0
12		1
13		0
14		1
15		0
16		1
25		1
26		1
27		1
28		0
29		1
30		0
31		1
32		0
33		0
34		0
35		1
36		1
37		0
38		1
39		0
40		1
41		0
42		1
43		0
44		1
45		0
46		1
47		1
48		1
49		0
50		1
51		0
52		0
53		1
55		0
56		1
57		0
58		1
59		1
60		1
61		1
62		1
63		1
64		1
65		0
67		0
68		1
69		0
70		1
71		0
72		0
73		1
76		0
78		0
79		0
80		0
82		0
85		0
86		0
88		0
91		1
92		0
93		0
94		0
95		1
96		1
97		0
99		1
100		1
101		0
103		0
104		1
117		0
118		1
119		1
120		1
122		0
123		0
124		1
125		1
126		0
127		1
128		1
130		0
131		0
132		1
133		1
134		1
136		0
137		1
138		1
139		1
140		1
142		0
144		0
146		0
147		1
148		1
149		0
153		1
154		1
155		0
156		0
162		1
163		1
164		1
165		0
169		1
170		0
171		0
173		1
174		1
175		0
179		0
181		1
182		1
183		1
184		1
186		1
188		0
189		0
NUMBER OF FAULTS DETECTED: 132
